question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2002.08909', '2310.11511', '2303.11366', '2401.15884', '2401.18059', '2404.16130', '2004.12832', '2004.04906']",['2005.11401'],10.196699993684888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2002.08909', '2401.18059', '2302.04761', '2310.11511', '2401.15884', '2404.16130']",['2005.11401'],9.913699992466718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2002.08909', '2004.12832', '2310.11511', '2005.11401', '2303.11366', '2401.18059', '2305.10601', '2401.15884']",['2004.04906'],9.847700013779104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2005.11401', '2004.12832', '2002.08909', '2401.18059']",['2004.04906'],10.629399999743327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2002.08909', '2004.04906', '2005.11401', '2401.18059', '2305.10601', '2404.16130', '2310.11511']",['2004.12832'],10.208499996224418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2004.04906', '2310.11511', '2002.08909', '2005.11401', '2404.16130']",['2004.12832'],9.800300002098083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2302.04761', '2310.11511', '2401.15884', '2002.08909', '2004.04906', '2004.12832', '2210.03629']",['2002.08909'],10.425099986605346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163,0.2
h08,"['2002.08909', '2004.12832', '2005.11401', '2004.04906']",['2002.08909'],9.688899997854605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h09,"['2303.11366', '2210.03629', '2305.10601']",['2210.03629'],9.493700024904683,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2303.11366', '2305.10601', '2005.11401']",['2210.03629'],8.8984000030905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2401.15884']",['2303.11366'],9.31789999594912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2401.15884', '2310.11511', '2305.10601', '2302.04761', '2210.03629', '2002.08909', '2401.18059', '2005.11401']",['2303.11366'],10.396800003945827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2210.03629', '2305.10601', '2303.11366', '2005.11401', '2401.18059', '2310.11511', '2401.15884', '2004.12832', '2404.16130']",['2305.10601'],8.694499992998317,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h14,"['2305.10601', '2404.16130', '2210.03629', '2302.04761', '2004.12832', '2401.18059', '2005.11401']",['2305.10601'],9.170000004814938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2002.08909', '2401.15884', '2310.11511', '2305.10601', '2210.03629', '2004.12832']",['2302.04761'],8.99329999811016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2305.10601', '2210.03629', '2303.11366', '2002.08909', '2310.11511', '2004.12832']",['2302.04761'],10.104899993166327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2401.15884', '2302.04761', '2002.08909', '2004.04906', '2005.11401', '2210.03629', '2305.10601']",['2310.11511'],9.53559999470599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2005.11401', '2004.04906', '2401.18059']",['2310.11511'],9.23639998654835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2002.08909', '2210.03629', '2005.11401', '2401.18059', '2004.12832', '2310.11511', '2302.04761', '2004.04906', '2404.16130']",['2401.15884'],9.673599997768179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2004.04906', '2401.18059', '2404.16130', '2002.08909', '2302.04761', '2005.11401', '2310.11511']",['2401.15884'],9.537700010696426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2401.18059', '2404.16130', '2002.08909', '2210.03629', '2005.11401', '2303.11366', '2004.12832', '2004.04906']",['2401.18059'],9.736599982716143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2404.16130']",['2401.18059'],9.160600020550191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
