question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2002.08909', '2401.15884', '2004.12832', '2310.11511', '2404.16130', '2210.03629', '2004.04906', '2305.10601']",['2005.11401'],1.212100003613159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2002.08909', '2401.18059', '2310.11511', '2302.04761', '2404.16130', '2305.10601', '2004.04906', '2401.15884']",['2005.11401'],1.112400001147762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2310.11511', '2005.11401', '2004.12832', '2002.08909', '2302.04761', '2305.10601', '2303.11366', '2210.03629', '2401.18059']",['2004.04906'],0.6062999891582876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2004.12832', '2310.11511', '2002.08909', '2005.11401', '2302.04761', '2210.03629', '2404.16130', '2401.15884', '2303.11366']",['2004.04906'],0.46170002315193415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2005.11401', '2002.08909', '2004.04906', '2310.11511', '2401.18059', '2404.16130', '2305.10601', '2302.04761', '2401.15884']",['2004.12832'],0.36419997923076153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2401.18059', '2004.04906', '2310.11511', '2005.11401', '2002.08909', '2401.15884', '2404.16130', '2305.10601']",['2004.12832'],0.31430000672116876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2002.08909', '2310.11511', '2401.15884', '2210.03629', '2004.04906', '2004.12832', '2302.04761', '2401.18059', '2303.11366']",['2002.08909'],0.31849998049438,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h08,"['2005.11401', '2002.08909', '2004.12832', '2004.04906', '2401.18059', '2310.11511', '2401.15884', '2303.11366', '2404.16130', '2305.10601']",['2002.08909'],0.30479999259114265,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2210.03629', '2303.11366', '2305.10601', '2401.15884', '2005.11401', '2004.04906', '2002.08909', '2310.11511', '2404.16130', '2302.04761']",['2210.03629'],0.291300006210804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h10,"['2210.03629', '2305.10601', '2303.11366', '2005.11401', '2302.04761', '2401.15884', '2002.08909', '2310.11511', '2404.16130']",['2210.03629'],0.291600008495152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2210.03629', '2302.04761', '2404.16130', '2401.15884', '2002.08909', '2305.10601', '2005.11401']",['2303.11366'],0.31650002347305417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2002.08909', '2210.03629', '2305.10601', '2005.11401', '2302.04761', '2401.15884', '2004.12832', '2004.04906']",['2303.11366'],0.3111999831162393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2210.03629', '2310.11511', '2303.11366', '2401.18059', '2005.11401', '2002.08909', '2404.16130', '2401.15884', '2004.12832']",['2305.10601'],0.3030999796465039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2004.12832', '2210.03629', '2303.11366', '2404.16130', '2002.08909', '2302.04761', '2005.11401', '2401.15884', '2401.18059']",['2305.10601'],0.30360001255758107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2401.15884', '2005.11401', '2210.03629', '2305.10601', '2002.08909', '2303.11366', '2004.04906', '2404.16130']",['2302.04761'],0.31239999225363135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2002.08909', '2305.10601', '2310.11511', '2303.11366', '2210.03629', '2401.18059', '2401.15884', '2005.11401', '2004.12832']",['2302.04761'],0.30980000155977905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2005.11401', '2002.08909', '2302.04761', '2401.15884', '2404.16130', '2004.12832', '2004.04906', '2401.18059', '2210.03629']",['2310.11511'],0.298400002066046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2005.11401', '2004.04906', '2002.08909', '2401.18059', '2305.10601', '2004.12832', '2302.04761', '2303.11366']",['2310.11511'],0.30949999927543104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2005.11401', '2401.18059', '2002.08909', '2004.04906', '2310.11511', '2004.12832', '2302.04761', '2305.10601', '2210.03629']",['2401.15884'],0.29090000316500664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.18059', '2401.15884', '2002.08909', '2404.16130', '2004.04906', '2005.11401', '2310.11511', '2302.04761', '2305.10601', '2210.03629']",['2401.15884'],0.2938999969046563,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h21,"['2401.18059', '2404.16130', '2005.11401', '2004.12832', '2004.04906', '2002.08909', '2210.03629', '2302.04761', '2303.11366', '2310.11511']",['2401.18059'],0.27799999224953353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2404.16130', '2004.12832', '2401.15884', '2310.11511', '2005.11401', '2302.04761', '2004.04906', '2210.03629']",['2401.18059'],0.26970001636072993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2401.18059', '2002.08909', '2004.04906', '2005.11401', '2310.11511', '2401.15884', '2004.12832', '2210.03629', '2303.11366']",['2404.16130'],0.2735000161919743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2401.18059', '2302.04761', '2002.08909', '2005.11401', '2210.03629', '2310.11511', '2004.04906', '2004.12832', '2401.15884']",['2404.16130'],0.2837000065483153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
