case,arm,query,claim_index,claim,quote,paper_id,page,human_supported,human_relevant,human_notes
a1,single,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,0,ColBERT independently encodes the query and the document using BERT and then employs a cheap yet powerful interaction step that models their fine-grained similarity.,ColBERT introduces a late interaction architecture that independently encodes the query and the document using BERT and then employs a cheap yet powerful interaction step that models their ﬁne-grained similarity,2004.12832,1,,,
a1,single,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,1,ColBERT combines fine-grained matching of interaction-based models with precomputation of document representations by retaining yet judiciously delaying the query-document interaction.,the ﬁne-grained matching of interaction-based models and the precomputation of document representations of representation-based models can be combined by retaining yet judiciously delaying the query–document interaction,2004.12832,2,,,
a1,single,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,2,"In ColBERT, every query embedding interacts with all document embeddings via a MaxSim operator that computes maximum similarity, and the scalar outputs are summed across query terms.","every query embedding interacts with all document embeddings via a MaxSim operator, which computes maximum similarity (e.g., cosine similarity), and the scalar outputs of these operators are summed across query terms",2004.12832,2,,,
a1,single,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,3,This paradigm allows ColBERT to shift the cost of encoding documents offline and amortize the cost of encoding the query once across all ranked documents.,Tis paradigm allows ColBERT to exploit deep LM-based representations while shifing the cost of encoding documents ofﬂine and amortizing the cost of encoding the query once across all ranked documents,2004.12832,2,,,
a1,multi_v3,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,0,ColBERT independently encodes the query and the document using BERT and then employs a cheap interaction step that models their fine-grained similarity.,ColBERT introduces a late interaction architecture that independently encodes the query and the document using BERT and then employs a cheap yet powerful interaction step that models their ﬁne-grained similarity,2004.12832,1,,,
a1,multi_v3,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,1,ColBERT combines fine-grained matching of interaction-based models with offline precomputation of document representations by retaining yet delaying query-document interaction.,the ﬁne-grained matching of interaction-based models and the precomputation of document representations of representation-based models can be combined by retaining yet judiciously delaying the query–document interaction,2004.12832,2,,,
a1,multi_v3,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,2,"In ColBERT, every query embedding interacts with all document embeddings via a MaxSim operator that computes maximum similarity, and the scalar outputs are summed across query terms.","every query embedding interacts with all document embeddings via a MaxSim operator, which computes maximum similarity (e.g., cosine similarity), and the scalar outputs of these operators are summed across query terms",2004.12832,2,,,
a1,multi_v3,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,3,"ColBERT's reported re-ranking latency subsumes the entire computation from gathering document representations, moving them to the GPU, tokenizing and encoding the query, and applying late interaction to compute document scores.","For ColBERT, our reported latency subsumes the entire computation from gathering the document representations, moving them to the GPU, tokenizing then encoding the query, and applying late interaction to compute document scores",2004.12832,7,,,
a1,multi_v4,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,0,ColBERT independently encodes the query and the document using BERT and then applies a cheap interaction step modeling their fine-grained similarity.,ColBERT introduces a late interaction architecture that independently encodes the query and the document using BERT and then employs a cheap yet powerful interaction step that models their ﬁne-grained similarity,2004.12832,1,,,
a1,multi_v4,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,1,ColBERT combines fine-grained matching of interaction-based models with offline precomputation of document representations by retaining yet delaying query-document interaction.,the ﬁne-grained matching of interaction-based models and the precomputation of document representations of representation-based models can be combined by retaining yet judiciously delaying the query–document interaction,2004.12832,2,,,
a1,multi_v4,How does ColBERT preserve token-level query document interaction while allowing document representations to be precomputed?,2,"In ColBERT, every query embedding interacts with all document embeddings via a MaxSim operator that computes maximum similarity, and the scalar outputs are summed across query terms.","every query embedding interacts with all document embeddings via a MaxSim operator, which computes maximum similarity (e.g., cosine similarity), and the scalar outputs of these operators are summed across query terms",2004.12832,2,,,
