question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2310.11511', '2609.26760', '2005.11401', '2401.15884', '2609.26763', '2609.25782', '2609.26229', '2609.26368', '2609.25303', '2609.24177']",['2005.11401'],74.39129997510463,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h02,"['2004.12832', '2005.11401', '2609.24220', '2609.26682', '2609.25469', '2002.08909', '2310.11511', '2401.15884', '2609.24359', '2609.24177']",['2005.11401'],14.488100016023964,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h03,"['2004.04906', '2004.12832', '2002.08909', '2310.11511', '2005.11401', '2401.18059', '2609.25303', '2401.15884', '2302.04761', '2609.24177']",['2004.04906'],11.739500012481585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2005.11401', '2002.08909', '2401.18059', '2609.26229', '2609.24372', '2310.11511', '2609.24346', '2004.12832', '2609.25303']",['2004.04906'],21.922699990682304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2002.08909', '2004.12832', '2004.04906', '2005.11401', '2609.24220', '2404.16130', '2609.25303', '2609.26368', '2609.24372', '2401.18059']",['2004.12832'],10.001400019973516,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h06,"['2004.12832', '2609.24346', '2004.04906', '2005.11401', '2404.16130', '2002.08909', '2609.25469', '2609.24122', '2609.24220', '2401.18059']",['2004.12832'],10.274500004015863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2004.12832', '2004.04906', '2609.25469', '2609.24122', '2609.25303']",['2002.08909'],9.694300009869039,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2002.08909', '2004.12832', '2005.11401', '2310.11511', '2609.24346', '2609.24122', '2401.15884', '2401.18059', '2609.24220', '2004.04906']",['2002.08909'],9.913200017763302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h09,"['2609.24831', '2609.25432', '2303.11366', '2609.26760', '2210.03629', '2305.10601', '2609.25325', '2609.26499', '2609.26682', '2609.24359']",['2210.03629'],9.427900018636137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163,0.2
h10,"['2210.03629', '2609.26499', '2609.26520', '2303.11366', '2305.10601', '2609.25432', '2609.23490', '2609.26481', '2609.25620', '2609.26562']",['2210.03629'],10.992399998940527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2609.24359', '2303.11366', '2609.25991', '2609.26499', '2609.26562', '2609.24831', '2310.11511', '2609.26760', '2609.24165', '2609.24090']",['2303.11366'],10.09709999198094,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h12,"['2609.23490', '2303.11366', '2401.15884', '2310.11511', '2305.10601', '2302.04761', '2210.03629', '2002.08909', '2609.26760', '2609.26229']",['2303.11366'],9.366999991470948,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h13,"['2609.24090', '2609.24831', '2210.03629', '2305.10601', '2609.25325', '2303.11366', '2609.24346', '2609.24165', '2310.11511', '2609.25756']",['2305.10601'],9.480300010181963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,0.25
h14,"['2305.10601', '2609.24346', '2401.18059', '2609.25325', '2609.24122', '2005.11401', '2302.04761', '2609.24177', '2002.08909', '2401.15884']",['2305.10601'],9.981200011679903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2401.15884', '2002.08909', '2310.11511', '2305.10601', '2004.12832', '2303.11366', '2005.11401', '2609.24831', '2609.25325']",['2302.04761'],10.468699998455122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2305.10601', '2210.03629', '2303.11366', '2609.25873', '2609.24090', '2609.26499', '2310.11511', '2609.24372', '2609.26102']",['2302.04761'],10.51799999549985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2302.04761', '2609.26175', '2002.08909', '2004.04906', '2609.24346', '2310.11511', '2005.11401', '2401.15884', '2609.24090', '2609.24177']",['2310.11511'],10.619500011671335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666
h18,"['2401.15884', '2005.11401', '2310.11511', '2609.25469', '2609.24122', '2609.24177', '2004.04906', '2401.18059', '2609.25620', '2302.04761']",['2310.11511'],10.105499997735023,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h19,"['2401.15884', '2002.08909', '2609.24220', '2004.12832', '2609.25469', '2609.25991', '2609.24122', '2005.11401', '2310.11511', '2004.04906']",['2401.15884'],8.850499987602234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2004.04906', '2404.16130', '2401.15884', '2609.24220', '2401.18059', '2005.11401', '2609.24122', '2310.11511', '2609.25303', '2609.24177']",['2401.15884'],10.068700008559972,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h21,"['2401.18059', '2404.16130', '2609.24220', '2609.25991', '2609.24122', '2004.04906', '2004.12832', '2609.25303', '2005.11401', '2609.24346']",['2401.18059'],9.385500015923753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2404.16130', '2609.24346', '2609.25325', '2609.24122', '2609.24090', '2609.26029', '2004.04906', '2005.11401']",['2401.18059'],10.269599995808676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2004.04906', '2401.18059', '2609.24122', '2609.24220', '2005.11401', '2609.25303', '2609.25991', '2310.11511', '2302.04761']",['2404.16130'],10.293100000126287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2401.18059', '2609.24122', '2609.24220', '2004.04906', '2609.25303', '2005.11401', '2609.26610', '2609.24372', '2609.25991']",['2404.16130'],9.992400009650737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
