question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2401.15884', '2303.11366', '2002.08909', '2310.11511', '2404.16130', '2401.18059']",['2005.11401'],1029.6299000037834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2310.11511', '2004.12832', '2002.08909', '2401.18059', '2302.04761', '2401.15884', '2404.16130']",['2005.11401'],1187.5560999906156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2002.08909', '2004.12832', '2005.11401', '2310.11511', '2305.10601', '2401.18059', '2303.11366']",['2004.04906'],1248.4279999916907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2004.12832', '2005.11401']",['2004.04906'],924.7773000097368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2005.11401', '2401.18059', '2002.08909']",['2004.12832'],899.0325999911875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2310.11511', '2004.04906', '2005.11401', '2002.08909']",['2004.12832'],992.6965999766253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2002.08909', '2005.11401', '2310.11511', '2401.15884', '2302.04761', '2004.12832', '2004.04906']",['2002.08909'],1002.1218000038061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h08,"['2002.08909', '2004.12832', '2005.11401']",['2002.08909'],884.1772000014316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h09,"['2210.03629', '2303.11366', '2305.10601']",['2210.03629'],1082.7197000035085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h10,"['2210.03629', '2305.10601', '2303.11366']",['2210.03629'],810.0468999764416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2401.15884']",['2303.11366'],701.4541999960784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2210.03629', '2302.04761', '2401.15884', '2305.10601', '2002.08909']",['2303.11366'],1294.3031000031624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2210.03629', '2303.11366', '2401.18059', '2005.11401', '2310.11511']",['2305.10601'],821.7730000033043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2404.16130', '2302.04761', '2210.03629', '2004.12832', '2401.18059']",['2305.10601'],1141.466400003992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2401.15884', '2002.08909', '2305.10601', '2210.03629', '2310.11511']",['2302.04761'],824.0078999951947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2310.11511', '2210.03629', '2303.11366', '2002.08909', '2305.10601']",['2302.04761'],1345.7772999827284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2401.15884', '2005.11401', '2210.03629', '2002.08909', '2302.04761', '2004.04906']",['2310.11511'],1127.4350000021514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2005.11401', '2004.04906']",['2310.11511'],971.8304999987595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2002.08909', '2401.18059', '2005.11401', '2004.12832', '2210.03629']",['2401.15884'],1018.5422000067774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2401.18059', '2004.04906', '2404.16130', '2005.11401', '2002.08909', '2302.04761', '2310.11511']",['2401.15884'],908.4165999956895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2401.18059', '2404.16130', '2002.08909', '2005.11401', '2303.11366', '2210.03629']",['2401.18059'],1299.7642999980599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601']",['2401.18059'],770.9109999996144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2401.18059']",['2404.16130'],787.0692999858875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,['2404.16130'],['2404.16130'],1150.4291000019293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
