question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2401.15884', '2002.08909', '2401.18059', '2404.16130', '2004.12832', '2004.04906', '2310.11511']",['2005.11401'],1.669599994784221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2002.08909', '2401.18059', '2302.04761', '2310.11511', '2404.16130']",['2005.11401'],1.2933999823872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2310.11511', '2005.11401', '2004.12832', '2002.08909', '2303.11366', '2305.10601']",['2004.04906'],0.9866999753285199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2004.12832']",['2004.04906'],1.0766999912448227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2005.11401', '2002.08909', '2004.04906', '2401.18059', '2305.10601', '2310.11511']",['2004.12832'],1.0266000172123313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2310.11511', '2002.08909', '2004.04906']",['2004.12832'],0.9277999924961478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2002.08909', '2310.11511', '2401.15884', '2004.12832', '2004.04906', '2210.03629', '2302.04761']",['2002.08909'],1.0845999931916595,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h08,"['2005.11401', '2002.08909', '2004.12832', '2004.04906']",['2002.08909'],0.8929000177886337,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2210.03629', '2303.11366']",['2210.03629'],0.7068999984767288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h10,"['2210.03629', '2305.10601', '2303.11366', '2005.11401']",['2210.03629'],0.8325999951921403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2401.15884']",['2303.11366'],0.6833999941591173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2210.03629', '2401.18059', '2305.10601', '2002.08909', '2005.11401', '2401.15884']",['2303.11366'],1.4672999968752265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2210.03629', '2310.11511', '2303.11366', '2005.11401', '2401.18059', '2401.15884', '2004.12832', '2404.16130']",['2305.10601'],1.1746999807655811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2404.16130', '2210.03629', '2302.04761', '2004.12832', '2005.11401']",['2305.10601'],1.0751000081654638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2305.10601', '2210.03629', '2002.08909', '2401.15884']",['2302.04761'],1.2573999993037432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2303.11366', '2002.08909', '2310.11511', '2305.10601', '2004.12832']",['2302.04761'],1.1155999964103103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2005.11401', '2401.15884', '2302.04761', '2002.08909']",['2310.11511'],1.0192000190727413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2005.11401', '2004.04906']",['2310.11511'],0.9846999892033637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2210.03629', '2005.11401', '2401.18059', '2002.08909', '2310.11511', '2302.04761', '2404.16130']",['2401.15884'],0.9832000068854541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2401.18059', '2002.08909', '2404.16130', '2004.04906', '2005.11401', '2302.04761', '2310.11511']",['2401.15884'],1.0479000047780573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2401.18059', '2404.16130', '2005.11401', '2002.08909', '2210.03629', '2303.11366', '2004.12832', '2004.04906']",['2401.18059'],0.9288000001106411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2404.16130']",['2401.18059'],0.8701000188011676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2401.18059', '2401.15884', '2002.08909', '2004.04906']",['2404.16130'],0.8607000054325908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2401.18059']",['2404.16130'],0.8413000032305717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
