question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2609.26229', '2310.11511', '2609.25303', '2609.26760', '2609.24090', '2303.11366', '2401.15884', '2609.24220', '2609.26763']",['2005.11401'],14.876400004141033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2609.24220', '2609.24346', '2609.25325', '2609.26682', '2609.26760', '2609.25469', '2002.08909', '2609.26562']",['2005.11401'],13.180499983718619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2002.08909', '2310.11511', '2609.25991', '2004.12832', '2609.26481', '2609.24177', '2005.11401', '2401.18059', '2609.26562']",['2004.04906'],14.22490002005361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2005.11401', '2002.08909', '2004.12832', '2401.18059', '2609.26229']",['2004.04906'],15.002200001617894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2002.08909', '2005.11401', '2609.25303', '2401.18059', '2609.24220', '2609.26763', '2310.11511', '2404.16130']",['2004.12832'],15.015499986475334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2609.24346', '2004.04906', '2002.08909', '2005.11401', '2310.11511', '2609.26760', '2609.24177', '2404.16130', '2609.25620']",['2004.12832'],14.070500008529052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2302.04761', '2401.15884', '2609.24122', '2002.08909', '2004.04906', '2004.12832', '2609.25469', '2609.25303']",['2002.08909'],14.091799996094778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666
h08,"['2002.08909', '2004.12832', '2005.11401', '2609.24177', '2609.25469', '2609.26763', '2004.04906']",['2002.08909'],14.738400001078844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h09,"['2303.11366', '2210.03629', '2609.24831', '2609.26760', '2609.25432', '2609.26520', '2609.25873', '2305.10601', '2609.26781', '2609.25325']",['2210.03629'],13.96849998855032,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2303.11366', '2305.10601', '2609.26499', '2609.26520', '2609.23490', '2609.24831', '2609.25325']",['2210.03629'],13.418499991530553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2609.24359', '2310.11511', '2609.26781', '2609.25991', '2401.15884', '2609.25620', '2609.26499', '2609.26562']",['2303.11366'],12.994700024137273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2609.23490', '2401.15884', '2310.11511', '2305.10601', '2609.26562', '2302.04761', '2609.25325', '2609.25756', '2609.25620']",['2303.11366'],15.819399995962158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2609.24090', '2609.25756', '2305.10601', '2609.24346', '2609.24831', '2210.03629', '2609.26610', '2609.25325', '2303.11366', '2609.25620']",['2305.10601'],12.495600007241592,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h14,"['2305.10601', '2609.25325', '2210.03629', '2404.16130', '2609.24346', '2401.18059', '2302.04761', '2004.12832', '2609.23444']",['2305.10601'],11.568799993256107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2002.08909', '2310.11511', '2401.15884', '2305.10601', '2609.26102', '2210.03629', '2004.12832', '2609.24831']",['2302.04761'],14.644699986092746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2305.10601', '2609.26610', '2210.03629', '2303.11366', '2002.08909', '2609.24165', '2609.24372', '2609.25991', '2609.25873']",['2302.04761'],14.635499974247068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2609.25991', '2401.15884', '2302.04761', '2609.26175', '2002.08909', '2004.04906', '2609.24346', '2005.11401', '2609.24090']",['2310.11511'],14.340699999593198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2005.11401', '2609.25469', '2609.24122', '2609.24177', '2004.04906', '2609.26102']",['2310.11511'],14.538399991579354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2609.24090', '2609.24346', '2002.08909', '2210.03629', '2609.24220', '2005.11401', '2310.11511', '2609.26229', '2004.12832']",['2401.15884'],14.454999996814877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2004.04906', '2401.18059', '2404.16130', '2002.08909', '2609.25620', '2609.23490', '2609.24220', '2609.24122', '2609.25303']",['2401.15884'],14.759300014702603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2401.18059', '2404.16130', '2609.26610', '2609.25991', '2002.08909', '2609.24220', '2005.11401', '2609.24122', '2609.24246']",['2401.18059'],14.189799985615537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2609.24831']",['2401.18059'],14.755699987290427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2609.25303', '2401.18059', '2004.04906', '2005.11401']",['2404.16130'],13.948000007076189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2609.24122', '2609.24246', '2609.25756']",['2404.16130'],15.295199991669506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a25,"['2609.26229', '2609.24246', '2609.26175', '2609.23490', '2302.04761', '2609.26102', '2609.26029', '2002.08909', '2609.25325', '2005.11401']",['2609.26229'],17.45499999378808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
