question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2401.15884', '2002.08909', '2401.18059', '2404.16130', '2004.12832', '2004.04906', '2310.11511', '2210.03629']",['2005.11401'],0.735500012524426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2401.18059', '2302.04761', '2002.08909', '2310.11511', '2404.16130', '2401.15884', '2305.10601', '2004.04906']",['2005.11401'],0.5101999850012362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2002.08909', '2004.12832', '2005.11401', '2303.11366', '2401.15884', '2210.03629', '2305.10601', '2302.04761']",['2004.04906'],0.9018999990075827,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832', '2404.16130', '2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2303.11366', '2305.10601']",['2004.04906'],0.7431999838445336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2002.08909', '2005.11401', '2401.18059', '2305.10601', '2310.11511', '2210.03629', '2302.04761', '2404.16130']",['2004.12832'],0.7416000007651746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2310.11511', '2002.08909', '2004.04906', '2401.18059', '2404.16130', '2005.11401', '2305.10601', '2401.15884', '2303.11366']",['2004.12832'],0.5898000090382993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2210.03629', '2004.12832', '2004.04906', '2305.10601', '2404.16130']",['2002.08909'],0.8969999908003956,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2005.11401', '2004.12832', '2004.04906', '2002.08909', '2310.11511', '2401.18059', '2404.16130', '2401.15884', '2305.10601', '2302.04761']",['2002.08909'],0.6711999885737896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,0.25
h09,"['2303.11366', '2210.03629', '2302.04761', '2401.15884', '2310.11511', '2004.04906', '2002.08909', '2005.11401', '2305.10601', '2401.18059']",['2210.03629'],0.4406999796628952,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2305.10601', '2303.11366', '2005.11401', '2004.04906', '2401.15884', '2302.04761', '2310.11511', '2002.08909', '2401.18059']",['2210.03629'],0.5350999999791384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2401.15884', '2302.04761', '2210.03629', '2305.10601', '2002.08909', '2404.16130', '2004.04906']",['2303.11366'],0.47810000251047313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2210.03629', '2401.18059', '2305.10601', '2002.08909', '2005.11401', '2401.15884', '2302.04761', '2004.12832']",['2303.11366'],0.8082999847829342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2303.11366', '2210.03629', '2005.11401', '2401.18059', '2310.11511', '2401.15884', '2004.12832', '2404.16130', '2002.08909']",['2305.10601'],0.4022000066470355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2404.16130', '2210.03629', '2302.04761', '2004.12832', '2005.11401', '2303.11366', '2002.08909', '2310.11511', '2401.15884']",['2305.10601'],0.39950001519173384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
