question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2310.11511', '2005.11401', '2401.15884', '2002.08909', '2004.12832', '2303.11366', '2302.04761', '2401.18059', '2004.04906', '2404.16130']",['2005.11401'],72.28970000869595,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h02,"['2004.12832', '2005.11401', '2002.08909', '2310.11511', '2401.15884', '2302.04761', '2401.18059', '2404.16130', '2004.04906', '2305.10601']",['2005.11401'],9.621100005460903,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h03,"['2004.04906', '2004.12832', '2002.08909', '2310.11511', '2005.11401', '2401.18059', '2401.15884', '2302.04761', '2404.16130', '2305.10601']",['2004.04906'],9.813700016820803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2005.11401', '2002.08909', '2401.18059', '2310.11511', '2004.12832', '2401.15884', '2302.04761', '2305.10601', '2210.03629']",['2004.04906'],8.889999997336417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2002.08909', '2004.12832', '2004.04906', '2005.11401', '2404.16130', '2401.18059', '2305.10601', '2310.11511', '2401.15884', '2302.04761']",['2004.12832'],9.536900004604831,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h06,"['2004.12832', '2004.04906', '2005.11401', '2404.16130', '2002.08909', '2401.18059', '2401.15884', '2310.11511', '2302.04761']",['2004.12832'],8.561399998143315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2004.12832', '2004.04906', '2401.18059', '2404.16130', '2210.03629']",['2002.08909'],9.621799981687218,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2002.08909', '2004.12832', '2005.11401', '2310.11511', '2401.15884', '2401.18059', '2004.04906', '2404.16130']",['2002.08909'],8.661200001370162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h09,"['2303.11366', '2210.03629', '2305.10601', '2310.11511', '2401.15884', '2302.04761', '2005.11401']",['2210.03629'],9.535799996228889,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2303.11366', '2305.10601', '2310.11511', '2401.18059', '2401.15884', '2302.04761', '2005.11401', '2404.16130']",['2210.03629'],8.285800024168566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
