question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2609.25303', '2005.11401', '2609.24090', '2303.11366', '2609.24220', '2401.15884', '2609.26562', '2002.08909', '2609.25682', '2401.18059']",['2005.11401'],1.7321000050287694,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h02,"['2005.11401', '2004.12832', '2609.24346', '2609.25325', '2609.26760', '2609.26562', '2302.04761', '2002.08909', '2609.26763', '2609.26682']",['2005.11401'],1.4216999989002943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2609.25991', '2004.12832', '2002.08909', '2609.24177', '2005.11401', '2609.26481', '2609.24122', '2609.25303']",['2004.04906'],2.3231000232044607,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832', '2310.11511', '2005.11401', '2609.24346', '2404.16130', '2609.24122', '2302.04761', '2305.10601', '2210.03629']",['2004.04906'],1.7785999807529151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2002.08909', '2005.11401', '2609.25469', '2609.24177', '2609.25620', '2609.25303', '2609.26763', '2401.18059']",['2004.12832'],2.229400008218363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2002.08909', '2004.04906', '2310.11511', '2609.26760', '2609.24177', '2609.25620', '2609.24220', '2609.26368', '2609.25469']",['2004.12832'],1.6788000066298991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2401.15884', '2302.04761', '2609.24122', '2210.03629', '2004.12832', '2004.04906', '2609.24346']",['2002.08909'],2.066099987132475,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2005.11401', '2004.12832', '2002.08909', '2004.04906', '2609.25469', '2609.24177', '2401.18059', '2310.11511', '2609.26763', '2609.24122']",['2002.08909'],1.7728999955579638,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h09,"['2303.11366', '2609.26781', '2609.24831', '2609.26760', '2210.03629', '2609.26520', '2609.23490', '2609.26499', '2609.24359', '2609.24165']",['2210.03629'],1.7546000017318875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.38685280723454163,1.0,1.0,0.38685280723454163,0.2
h10,"['2210.03629', '2305.10601', '2609.23490', '2609.24831', '2303.11366', '2609.25325', '2609.26760', '2005.11401', '2609.26763', '2609.26610']",['2210.03629'],1.4202000165823847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2609.26781', '2609.26499', '2609.24359', '2609.26682', '2609.25991', '2609.23490', '2609.26562', '2401.15884']",['2303.11366'],1.7479000089224428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2609.26562', '2609.25325', '2609.25756', '2609.25620', '2609.25682', '2210.03629', '2609.26682', '2609.26499']",['2303.11366'],2.547200012486428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2609.25756', '2305.10601', '2609.24346', '2609.26610', '2303.11366', '2609.24090', '2609.25620', '2609.25325', '2005.11401', '2609.25873']",['2305.10601'],1.3399999879766256,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h14,"['2305.10601', '2609.25325', '2210.03629', '2404.16130', '2302.04761', '2004.12832', '2609.23444', '2005.11401', '2609.26763', '2609.24359']",['2305.10601'],0.8696999866515398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2305.10601', '2609.26102', '2210.03629', '2002.08909', '2401.15884', '2609.24831', '2609.26175', '2609.26029']",['2302.04761'],2.362400002311915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2609.26610', '2303.11366', '2002.08909', '2609.24165', '2609.24372', '2609.25991', '2609.24831', '2609.23490', '2310.11511']",['2302.04761'],1.9703999860212207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2609.26760', '2005.11401', '2401.15884', '2609.25991', '2002.08909', '2609.24122', '2609.25303', '2609.24346', '2609.26175']",['2310.11511'],2.2954999876674265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2609.24177', '2005.11401', '2609.26102', '2004.04906', '2002.08909', '2609.26682', '2609.25325', '2609.24372']",['2310.11511'],1.8911999941337854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2609.24090', '2609.24346', '2210.03629', '2005.11401', '2310.11511', '2609.26229', '2609.26102', '2609.25469', '2609.24122']",['2401.15884'],1.9866999937221408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2401.18059', '2404.16130', '2002.08909', '2609.25620', '2609.23490', '2609.24122', '2609.25303', '2609.25991', '2004.04906']",['2401.15884'],2.049500006251037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2609.26610', '2401.18059', '2609.25991', '2404.16130', '2002.08909', '2609.24220', '2005.11401', '2609.24122', '2609.24246', '2609.24346']",['2401.18059'],1.5502000169362873,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h22,"['2401.18059', '2305.10601', '2609.24831', '2609.24346', '2609.25303', '2404.16130', '2609.26029', '2609.26781', '2609.24220', '2004.12832']",['2401.18059'],1.816699979826808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2609.25303', '2401.18059', '2004.04906', '2005.11401', '2609.25469', '2002.08909', '2609.24122', '2401.15884', '2609.26481']",['2404.16130'],1.4931999903637916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2609.24122', '2609.24246', '2609.25756', '2609.25620', '2609.26610', '2609.24346', '2609.26682', '2609.26562', '2401.18059']",['2404.16130'],1.661599992075935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a25,"['2609.26229', '2609.26175', '2609.24246', '2609.23444', '2609.25873', '2609.25620', '2609.26610', '2609.25991', '2609.26763', '2609.25325']",['2609.26229'],3.345800010720268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a26,"['2609.26781', '2609.26499', '2609.25991', '2609.24246', '2609.25873', '2609.24831', '2609.25782', '2609.26520', '2609.26763', '2609.26760']",['2609.26781'],2.3533999919891357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a27,"['2609.26102', '2609.25531', '2609.25682', '2609.24090', '2609.25873', '2609.26175', '2609.23490', '2609.25325', '2609.26610', '2609.26481']",['2609.26102'],2.1573999838437885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a28,"['2609.26763', '2609.25782', '2609.26368', '2609.24831', '2609.26229', '2609.24177', '2609.26610', '2609.24346', '2609.24090', '2609.26520']",['2609.26763'],3.3149000082630664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a29,"['2609.25991', '2609.26229', '2609.25469', '2310.11511', '2005.11401', '2401.15884', '2609.25620', '2404.16130', '2609.24177', '2002.08909']",['2609.25991'],4.27440000930801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a30,"['2609.26481', '2609.26562', '2303.11366', '2609.26520', '2404.16130', '2609.24177', '2609.25782', '2609.25531', '2609.26781', '2609.24359']",['2609.26481'],1.5584999928250909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a31,"['2609.25620', '2609.26763', '2609.24165', '2609.26562', '2609.26682', '2609.25991', '2609.24831', '2002.08909', '2609.26610', '2401.18059']",['2609.25620'],2.3305000213440508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a32,"['2609.26760', '2609.26481', '2609.23490', '2210.03629', '2609.26781', '2002.08909', '2609.26368', '2609.26499', '2609.23444', '2609.26520']",['2609.26760'],3.952600003685802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a33,"['2609.25682', '2609.25782', '2303.11366', '2609.26102', '2005.11401', '2609.26499', '2609.26562', '2401.18059', '2609.23490', '2609.26610']",['2609.25682'],2.4049000057857484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a34,"['2609.26175', '2609.25873', '2609.26610', '2609.25620', '2303.11366', '2609.26229', '2609.24346', '2609.24246', '2609.26682', '2609.26029']",['2609.26175'],2.9881999944336712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a35,"['2609.25469', '2609.26229', '2609.25991', '2609.24246', '2310.11511', '2609.24220', '2005.11401', '2609.25303', '2609.25782', '2401.15884']",['2609.25469'],4.343700013123453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a36,"['2609.26682', '2609.26175', '2609.23490', '2401.15884', '2609.26610', '2210.03629', '2303.11366', '2609.26229', '2005.11401', '2609.25620']",['2609.26682'],2.8349000203888863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a37,"['2609.25531', '2609.26520', '2609.25756', '2609.26682', '2609.23444', '2609.26562', '2609.23490', '2609.25620', '2609.24165', '2609.26175']",['2609.25531'],3.018700022948906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a38,"['2609.26029', '2005.11401', '2609.24246', '2609.26229', '2609.25782', '2401.15884', '2609.24177', '2609.25384', '2609.25991', '2609.25303']",['2609.26029'],1.3450000260490924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a39,"['2609.25303', '2305.10601', '2609.26175', '2609.25620', '2609.26229', '2609.26481', '2609.25782', '2303.11366', '2609.24177', '2609.26562']",['2609.25303'],2.574399986770004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a40,"['2609.26610', '2609.26229', '2609.24372', '2005.11401', '2609.25469', '2609.26102', '2609.25873', '2609.26029', '2609.24246', '2401.18059']",['2609.26610'],2.0662999886553735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a41,"['2609.25432', '2404.16130', '2609.25531', '2210.03629', '2609.26481', '2609.25756', '2609.25782', '2609.25873', '2609.24359', '2609.26102']",['2609.25432'],1.429600000847131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a42,"['2609.25873', '2609.25682', '2609.25325', '2609.25620', '2609.26481', '2210.03629', '2609.25782', '2609.26499', '2609.26763', '2609.26610']",['2609.25873'],2.3622000007890165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a43,"['2609.24372', '2609.26610', '2609.26175', '2210.03629', '2609.25873', '2609.26229', '2609.25620', '2401.15884', '2609.24831', '2609.25303']",['2609.24372'],3.488500020466745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a44,"['2609.26562', '2609.26781', '2609.26175', '2609.26499', '2609.26481', '2609.25991', '2609.25432', '2609.26682', '2609.24165', '2303.11366']",['2609.26562'],1.8508999783080071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a45,"['2609.25384', '2004.12832', '2401.18059', '2609.25432', '2609.24831', '2609.26481', '2609.23490', '2609.25782', '2609.24090', '2404.16130']",['2609.25384'],2.986099978443235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a46,"['2609.25782', '2609.26763', '2609.26499', '2609.26368', '2609.24831', '2609.23490', '2609.24165', '2609.24220', '2609.26781', '2609.23444']",['2609.25782'],3.5349999961908907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a47,"['2609.24346', '2609.25303', '2609.24372', '2609.24177', '2404.16130', '2609.24246', '2609.26229', '2609.24220', '2609.25469', '2401.18059']",['2609.24346'],3.178599989041686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a48,"['2609.26520', '2609.26499', '2609.25620', '2609.24359', '2210.03629', '2609.26760', '2609.25756', '2005.11401', '2609.25782', '2609.25384']",['2609.26520'],0.843599991640076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a49,"['2609.24359', '2609.25756', '2609.25303', '2609.26562', '2609.26499', '2005.11401', '2609.24246', '2305.10601', '2002.08909', '2609.25620']",['2609.24359'],2.24009997327812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a50,"['2609.25756', '2303.11366', '2609.25682', '2609.26481', '2609.23444', '2609.25325', '2609.24090', '2210.03629', '2609.25991', '2609.25620']",['2609.25756'],1.424399990355596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
