question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2401.15884', '2002.08909', '2401.18059', '2404.16130', '2004.12832', '2004.04906', '2310.11511', '2210.03629']",['2005.11401'],0.6894000107422471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2401.18059', '2302.04761', '2002.08909', '2310.11511', '2404.16130', '2401.15884', '2305.10601', '2004.04906']",['2005.11401'],0.49360000411979854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2004.12832', '2002.08909', '2005.11401', '2303.11366', '2305.10601', '2302.04761', '2401.18059', '2404.16130']",['2004.04906'],0.5698000022675842,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832', '2404.16130', '2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2303.11366', '2305.10601']",['2004.04906'],0.8370999712496996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2005.11401', '2401.18059', '2004.04906', '2002.08909', '2305.10601', '2310.11511', '2302.04761', '2210.03629', '2404.16130']",['2004.12832'],0.7108999998308718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2310.11511', '2002.08909', '2004.04906', '2401.18059', '2404.16130', '2005.11401', '2305.10601', '2401.15884', '2303.11366']",['2004.12832'],0.5806000262964517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2004.12832', '2004.04906', '2210.03629', '2305.10601', '2404.16130']",['2002.08909'],0.7250999915413558,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2005.11401', '2002.08909', '2004.12832', '2004.04906', '2401.15884', '2310.11511', '2401.18059', '2305.10601', '2302.04761', '2210.03629']",['2002.08909'],0.5852999747730792,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2303.11366', '2210.03629', '2310.11511', '2004.04906', '2002.08909', '2401.15884', '2005.11401', '2305.10601', '2302.04761', '2401.18059']",['2210.03629'],0.40160000207833946,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2305.10601', '2303.11366', '2005.11401', '2004.04906', '2401.15884', '2302.04761', '2310.11511', '2002.08909', '2401.18059']",['2210.03629'],0.5286000086925924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2401.15884', '2002.08909', '2302.04761', '2404.16130', '2210.03629', '2004.04906', '2305.10601', '2401.18059']",['2303.11366'],0.3708999720402062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2210.03629', '2401.18059', '2305.10601', '2002.08909', '2005.11401', '2401.15884', '2302.04761', '2004.12832']",['2303.11366'],0.8231000101659447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2303.11366', '2210.03629', '2005.11401', '2401.18059', '2310.11511', '2401.15884', '2004.12832', '2404.16130', '2002.08909']",['2305.10601'],0.3983000060543418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2404.16130', '2210.03629', '2302.04761', '2004.12832', '2005.11401', '2303.11366', '2002.08909', '2310.11511', '2401.15884']",['2305.10601'],0.4000999906565994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2305.10601', '2210.03629', '2002.08909', '2401.15884', '2303.11366', '2005.11401', '2004.12832', '2004.04906']",['2302.04761'],0.6992999988142401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2303.11366', '2002.08909', '2310.11511', '2305.10601', '2004.12832', '2210.03629', '2005.11401', '2401.18059', '2404.16130']",['2302.04761'],0.687899999320507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2005.11401', '2401.15884', '2302.04761', '2002.08909', '2305.10601', '2004.12832', '2210.03629', '2401.18059', '2004.04906']",['2310.11511'],0.6855999818071723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2005.11401', '2004.04906', '2002.08909', '2210.03629', '2303.11366', '2004.12832', '2401.18059', '2302.04761']",['2310.11511'],0.9944000048562884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2210.03629', '2005.11401', '2401.18059', '2002.08909', '2310.11511', '2302.04761', '2404.16130', '2004.04906', '2004.12832']",['2401.15884'],0.9803999855648726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2401.18059', '2404.16130', '2002.08909', '2004.04906', '2302.04761', '2005.11401', '2310.11511', '2303.11366', '2305.10601']",['2401.15884'],1.151899981778115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2401.18059', '2404.16130', '2002.08909', '2210.03629', '2005.11401', '2303.11366', '2004.12832', '2004.04906', '2310.11511', '2302.04761']",['2401.18059'],0.680800003465265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2404.16130', '2004.04906', '2004.12832', '2401.15884', '2310.11511', '2210.03629', '2005.11401', '2302.04761']",['2401.18059'],0.6034999969415367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2401.18059', '2401.15884', '2002.08909', '2004.04906', '2005.11401', '2210.03629', '2310.11511', '2004.12832', '2305.10601']",['2404.16130'],0.5794999888166785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2401.18059', '2002.08909', '2004.04906', '2210.03629', '2302.04761', '2005.11401', '2004.12832', '2310.11511', '2305.10601']",['2404.16130'],0.5710000114049762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
