question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2609.25303', '2005.11401', '2609.24090', '2303.11366', '2401.15884', '2609.24220', '2609.26562', '2002.08909', '2401.18059', '2404.16130']",['2005.11401'],1.1721999908331782,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h02,"['2005.11401', '2004.12832', '2609.24346', '2609.25325', '2609.26760', '2609.26562', '2302.04761', '2002.08909', '2609.26763', '2609.26682']",['2005.11401'],0.9660999930929393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2609.25991', '2004.12832', '2609.26481', '2609.24177', '2609.26562', '2002.08909', '2609.25303', '2609.26682']",['2004.04906'],1.0813999979291111,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832', '2310.11511', '2005.11401', '2609.24346', '2404.16130', '2609.24122', '2302.04761', '2305.10601', '2210.03629']",['2004.04906'],1.1384999961592257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2005.11401', '2609.25303', '2004.04906', '2401.18059', '2002.08909', '2609.26763', '2310.11511', '2609.24177', '2609.26368']",['2004.12832'],1.4117999817244709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2002.08909', '2310.11511', '2609.26760', '2609.24177', '2609.25620', '2004.04906', '2609.26368', '2609.25469', '2609.24122']",['2004.12832'],1.0282000002916902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2609.24122', '2002.08909', '2302.04761', '2401.15884', '2004.04906', '2210.03629', '2004.12832', '2609.24346']",['2002.08909'],1.064799987943843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,0.25
h08,"['2005.11401', '2002.08909', '2004.12832', '2609.24177', '2609.25469', '2609.26763', '2004.04906', '2609.24346', '2609.24090', '2609.24122']",['2002.08909'],1.042800024151802,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2303.11366', '2210.03629', '2609.26520', '2609.26760', '2609.24831', '2609.26781', '2609.25873', '2609.25325', '2609.26481', '2609.24359']",['2210.03629'],1.0005999938584864,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2609.23490', '2609.24831', '2303.11366', '2305.10601', '2609.25325', '2609.26760', '2005.11401', '2609.26763', '2609.26610']",['2210.03629'],0.8968000183813274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2609.26781', '2310.11511', '2609.25991', '2401.15884', '2609.24359', '2609.26481', '2609.25620', '2609.24090', '2609.26682']",['2303.11366'],0.8359000203199685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2609.26562', '2609.25325', '2210.03629', '2609.26499', '2609.25432', '2609.25682', '2609.25756', '2609.26760']",['2303.11366'],1.73940000240691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2609.25756', '2609.24346', '2303.11366', '2609.24090', '2609.25325', '2005.11401', '2609.26175', '2609.26520', '2609.24122']",['2305.10601'],0.8417000062763691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2609.25325', '2210.03629', '2404.16130', '2302.04761', '2609.23444', '2005.11401', '2609.26763', '2609.24359', '2609.25384']",['2305.10601'],0.5745000089518726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2305.10601', '2609.26102', '2210.03629', '2002.08909', '2401.15884', '2609.24831', '2609.26175', '2609.26029']",['2302.04761'],1.6104999813251197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2609.26610', '2609.24165', '2303.11366', '2609.24372', '2609.25991', '2002.08909', '2609.24831', '2609.23490', '2310.11511']",['2302.04761'],1.2463000020943582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
