question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2609.25991', '2401.15884', '2609.25469', '2002.08909', '2609.25682', '2609.24122', '2004.12832', '2609.24220']",['2005.11401'],2.7092999953310937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2609.25469', '2002.08909', '2310.11511', '2609.24220', '2609.26763', '2609.25991', '2609.26760', '2609.24122']",['2005.11401'],1.626400015084073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2310.11511', '2609.25991', '2005.11401', '2609.24122', '2609.24177', '2609.25303', '2609.24346', '2609.24359', '2609.26562']",['2004.04906'],1.1424999975133687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2005.11401', '2310.11511', '2609.24177', '2302.04761', '2210.03629', '2002.08909', '2609.25991', '2305.10601', '2609.24346']",['2004.04906'],0.9427999902982265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2002.08909', '2609.25303', '2005.11401', '2609.24177', '2404.16130', '2401.18059', '2609.25620', '2609.26763']",['2004.12832'],0.9911999804899096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2004.04906', '2002.08909', '2609.25469', '2609.24177', '2005.11401', '2609.25620', '2404.16130', '2401.18059', '2310.11511']",['2004.12832'],0.9432000224478543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2002.08909', '2310.11511', '2609.24122', '2401.15884', '2210.03629', '2609.25991', '2609.25469', '2004.04906', '2302.04761']",['2002.08909'],0.8524000004399568,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h08,"['2005.11401', '2002.08909', '2004.12832', '2609.25469', '2004.04906', '2609.24346', '2401.18059', '2609.24177', '2401.15884', '2609.26763']",['2002.08909'],0.6785999867133796,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2210.03629', '2303.11366', '2609.24831', '2609.26760', '2609.26520', '2609.26682', '2609.24165', '2609.26499', '2609.25620', '2609.25432']",['2210.03629'],0.7718999986536801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h10,"['2210.03629', '2305.10601', '2303.11366', '2005.11401', '2609.24831', '2302.04761', '2609.23490', '2310.11511', '2609.26499', '2609.24090']",['2210.03629'],0.6997000018600374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2609.26499', '2609.26781', '2609.25991', '2609.25620', '2609.25873', '2609.25325', '2609.26481', '2305.10601']",['2303.11366'],0.6256000197026879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2609.25682', '2210.03629', '2609.25873', '2609.25325', '2609.26682', '2609.26499', '2002.08909', '2310.11511', '2609.25620']",['2303.11366'],0.6607999966945499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2609.25756', '2609.25325', '2609.26610', '2305.10601', '2210.03629', '2609.24346', '2609.26102', '2609.24831', '2609.26520', '2609.25873']",['2305.10601'],0.6924999761395156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,0.25
h14,"['2305.10601', '2004.12832', '2609.25325', '2210.03629', '2303.11366', '2302.04761', '2005.11401', '2609.26763', '2004.04906', '2609.26760']",['2305.10601'],0.6084000051487237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2609.26102', '2401.15884', '2609.26175', '2609.26760', '2310.11511', '2210.03629', '2305.10601', '2609.24831', '2609.26781']",['2302.04761'],0.6267999997362494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2609.23490', '2609.24372', '2303.11366', '2609.26499', '2305.10601', '2310.11511', '2210.03629', '2002.08909', '2609.25873']",['2302.04761'],0.6118000019341707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
