question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2609.25303', '2609.24090', '2401.15884', '2609.26562', '2303.11366', '2002.08909', '2609.26229', '2310.11511', '2609.26760']",['2005.11401'],1409.0574999863748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2310.11511', '2609.26763', '2002.08909', '2004.12832', '2401.18059', '2609.24346', '2302.04761', '2609.26562', '2609.24220']",['2005.11401'],1049.0422000002582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2004.04906', '2002.08909', '2004.12832', '2609.25303', '2609.25991', '2310.11511', '2609.24177', '2005.11401', '2401.18059', '2609.26562']",['2004.04906'],1270.916900015436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h04,"['2004.04906', '2005.11401']",['2004.04906'],890.4993000032846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2005.11401', '2401.18059', '2609.25303', '2002.08909']",['2004.12832'],894.1161000111606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2004.04906', '2609.24346', '2002.08909', '2005.11401']",['2004.12832'],976.1454999970738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2002.08909', '2005.11401', '2609.24122', '2310.11511', '2401.15884', '2302.04761', '2004.04906']",['2002.08909'],917.6789000048302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h08,"['2002.08909', '2004.12832', '2005.11401', '2609.25469', '2609.24177', '2609.26763']",['2002.08909'],893.3659000031184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h09,"['2609.24831', '2210.03629', '2303.11366', '2609.26760', '2609.26520', '2609.25873', '2609.25432']",['2210.03629'],709.6148999989964,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2305.10601', '2303.11366', '2609.23490', '2609.26520', '2609.26499']",['2210.03629'],801.2914000137243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
