question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2609.25303', '2609.24090', '2609.24220', '2401.15884', '2609.26562', '2002.08909', '2609.25682', '2401.18059']",['2005.11401'],4.558399989036843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2609.26763', '2609.24346', '2609.25325', '2609.26760', '2609.26562', '2302.04761', '2002.08909', '2609.26682']",['2005.11401'],3.7415999977383763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2609.25991', '2004.12832', '2609.26481', '2609.24177', '2609.26562', '2002.08909', '2609.25303', '2609.26682']",['2004.04906'],3.4445000055711716,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832']",['2004.04906'],3.1082999776117504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2004.04906', '2002.08909', '2005.11401', '2609.25303', '2401.18059', '2609.26763', '2310.11511']",['2004.12832'],4.463899997062981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2002.08909', '2004.04906', '2310.11511', '2609.26760', '2609.24177', '2609.25620']",['2004.12832'],3.6939000128768384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2401.15884', '2609.24122', '2302.04761', '2004.04906', '2210.03629', '2004.12832']",['2002.08909'],3.333500004373491,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2005.11401', '2002.08909', '2004.12832', '2609.24177', '2609.25469', '2609.26763', '2004.04906']",['2002.08909'],3.0039999983273447,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2210.03629', '2303.11366', '2609.26520', '2609.24831', '2609.25873', '2609.26760', '2609.26781', '2609.25325', '2609.25620']",['2210.03629'],3.255199990235269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h10,"['2210.03629', '2305.10601', '2609.23490', '2609.24831', '2303.11366', '2609.25325']",['2210.03629'],3.337500005727634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
