question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2005.11401', '2303.11366', '2401.15884', '2002.08909', '2401.18059', '2404.16130', '2004.12832', '2004.04906', '2310.11511', '2210.03629']",['2005.11401'],0.5032999906688929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h02,"['2005.11401', '2004.12832', '2401.18059', '2302.04761', '2002.08909', '2310.11511', '2404.16130', '2401.15884', '2305.10601', '2004.04906']",['2005.11401'],0.36529998760670424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2004.12832', '2002.08909', '2005.11401', '2303.11366', '2305.10601', '2302.04761', '2401.18059', '2404.16130']",['2004.04906'],0.384299986762926,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832', '2404.16130', '2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2303.11366', '2305.10601']",['2004.04906'],0.4906000103801489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2005.11401', '2401.18059', '2002.08909', '2305.10601', '2004.04906', '2310.11511', '2302.04761', '2210.03629', '2404.16130']",['2004.12832'],0.46710000606253743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2310.11511', '2002.08909', '2401.18059', '2004.04906', '2005.11401', '2305.10601', '2404.16130', '2401.15884', '2303.11366']",['2004.12832'],0.3786000015679747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2002.08909', '2302.04761', '2401.15884', '2004.12832', '2210.03629', '2004.04906', '2305.10601', '2404.16130']",['2002.08909'],0.4948000132571906,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333
h08,"['2005.11401', '2002.08909', '2004.12832', '2004.04906', '2401.15884', '2310.11511', '2401.18059', '2305.10601', '2302.04761', '2210.03629']",['2002.08909'],0.39439997635781765,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2303.11366', '2210.03629', '2310.11511', '2004.04906', '2002.08909', '2401.15884', '2005.11401', '2305.10601', '2302.04761', '2401.18059']",['2210.03629'],0.2733000146690756,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2303.11366', '2305.10601', '2005.11401', '2004.04906', '2401.15884', '2302.04761', '2310.11511', '2002.08909', '2401.18059']",['2210.03629'],0.350900023477152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2401.15884', '2310.11511', '2002.08909', '2302.04761', '2404.16130', '2210.03629', '2004.04906', '2305.10601', '2401.18059']",['2303.11366'],0.24960000882856548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2210.03629', '2401.18059', '2305.10601', '2005.11401', '2401.15884', '2002.08909', '2302.04761', '2004.12832']",['2303.11366'],0.5173000099603087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2305.10601', '2303.11366', '2005.11401', '2401.18059', '2310.11511', '2401.15884', '2210.03629', '2004.12832', '2404.16130', '2002.08909']",['2305.10601'],0.26030000299215317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h14,"['2305.10601', '2404.16130', '2210.03629', '2302.04761', '2005.11401', '2303.11366', '2004.12832', '2002.08909', '2310.11511', '2401.15884']",['2305.10601'],0.26699999580159783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2305.10601', '2210.03629', '2002.08909', '2401.15884', '2303.11366', '2005.11401', '2004.12832', '2004.04906']",['2302.04761'],0.4667000030167401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2303.11366', '2002.08909', '2310.11511', '2004.12832', '2305.10601', '2210.03629', '2005.11401', '2401.18059', '2404.16130']",['2302.04761'],0.46300000394694507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2005.11401', '2401.15884', '2302.04761', '2002.08909', '2305.10601', '2004.12832', '2210.03629', '2401.18059', '2004.04906']",['2310.11511'],0.463999982457608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2004.04906', '2002.08909', '2005.11401', '2210.03629', '2303.11366', '2004.12832', '2401.18059', '2302.04761']",['2310.11511'],0.4810999962501228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2210.03629', '2005.11401', '2401.18059', '2002.08909', '2310.11511', '2302.04761', '2404.16130', '2004.04906', '2305.10601']",['2401.15884'],0.5466000002343208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2401.18059', '2404.16130', '2002.08909', '2004.04906', '2302.04761', '2005.11401', '2310.11511', '2303.11366', '2305.10601']",['2401.15884'],0.5126000032760203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2401.18059', '2404.16130', '2002.08909', '2210.03629', '2005.11401', '2303.11366', '2004.12832', '2004.04906', '2310.11511', '2302.04761']",['2401.18059'],0.4659999976865947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h22,"['2401.18059', '2305.10601', '2404.16130', '2004.04906', '2004.12832', '2401.15884', '2310.11511', '2210.03629', '2005.11401', '2302.04761']",['2401.18059'],0.3823000006377697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2401.18059', '2401.15884', '2002.08909', '2004.04906', '2005.11401', '2210.03629', '2310.11511', '2004.12832', '2305.10601']",['2404.16130'],0.3733999910764396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2401.18059', '2002.08909', '2004.04906', '2210.03629', '2302.04761', '2005.11401', '2004.12832', '2310.11511', '2305.10601']",['2404.16130'],0.36959999124519527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
