question_id,ranked,relevant,latency_ms,hit_at_1,recall_at_1,ndcg_at_1,hit_at_3,recall_at_3,ndcg_at_3,hit_at_5,recall_at_5,ndcg_at_5,hit_at_10,recall_at_10,ndcg_at_10,mrr
h01,"['2609.25303', '2005.11401', '2609.24090', '2303.11366', '2609.24220', '2401.15884', '2609.26562', '2002.08909', '2609.25682', '2401.18059']",['2005.11401'],1.7412000161129981,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h02,"['2005.11401', '2004.12832', '2609.24346', '2609.25325', '2609.26760', '2609.26562', '2302.04761', '2002.08909', '2609.26763', '2609.26682']",['2005.11401'],1.4033999759703875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h03,"['2310.11511', '2004.04906', '2609.25991', '2004.12832', '2609.26481', '2609.24177', '2609.26562', '2002.08909', '2609.25303', '2609.26682']",['2004.04906'],1.6765999898780137,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h04,"['2004.04906', '2004.12832', '2310.11511', '2005.11401', '2609.24346', '2404.16130', '2609.24122', '2302.04761', '2305.10601', '2210.03629']",['2004.04906'],1.7527999880257994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h05,"['2004.12832', '2005.11401', '2004.04906', '2609.25303', '2401.18059', '2002.08909', '2609.26763', '2310.11511', '2609.24177', '2609.26368']",['2004.12832'],2.411599998595193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h06,"['2004.12832', '2002.08909', '2004.04906', '2310.11511', '2609.26760', '2609.24177', '2609.25620', '2609.24220', '2609.26368', '2609.25469']",['2004.12832'],1.6327000048477203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h07,"['2005.11401', '2310.11511', '2609.24122', '2002.08909', '2302.04761', '2401.15884', '2004.04906', '2210.03629', '2004.12832', '2609.24346']",['2002.08909'],1.8179999897256494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.43067655807339306,1.0,1.0,0.43067655807339306,0.25
h08,"['2005.11401', '2002.08909', '2004.12832', '2609.24177', '2609.25469', '2609.26763', '2004.04906', '2609.24346', '2609.24090', '2609.24122']",['2002.08909'],1.676399988355115,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h09,"['2303.11366', '2210.03629', '2609.26520', '2609.24831', '2609.25873', '2609.26760', '2609.26781', '2609.25325', '2609.25620', '2609.26481']",['2210.03629'],1.5965000202413648,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h10,"['2210.03629', '2305.10601', '2609.23490', '2609.24831', '2303.11366', '2609.25325', '2609.26760', '2005.11401', '2609.26763', '2609.26610']",['2210.03629'],1.452399999834597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h11,"['2303.11366', '2310.11511', '2609.26781', '2609.25991', '2401.15884', '2609.24359', '2609.25620', '2609.26499', '2609.26481', '2609.24090']",['2303.11366'],1.299199997447431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h12,"['2303.11366', '2310.11511', '2609.26562', '2609.25325', '2609.25756', '2609.25620', '2609.25682', '2210.03629', '2609.26682', '2609.26499']",['2303.11366'],2.550600009271875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h13,"['2609.25756', '2305.10601', '2609.24346', '2609.26610', '2303.11366', '2609.24090', '2609.25620', '2609.25325', '2005.11401', '2609.25873']",['2305.10601'],1.377399981720373,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h14,"['2305.10601', '2609.25325', '2210.03629', '2404.16130', '2302.04761', '2004.12832', '2609.23444', '2005.11401', '2609.26763', '2609.24359']",['2305.10601'],1.114899991080165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h15,"['2302.04761', '2310.11511', '2305.10601', '2609.26102', '2210.03629', '2002.08909', '2401.15884', '2609.24831', '2609.26175', '2609.26029']",['2302.04761'],4.126799991354346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h16,"['2302.04761', '2609.26610', '2303.11366', '2002.08909', '2609.24165', '2609.24372', '2609.25991', '2609.24831', '2609.23490', '2310.11511']",['2302.04761'],2.078799996525049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h17,"['2310.11511', '2005.11401', '2401.15884', '2609.25991', '2609.26760', '2002.08909', '2609.26175', '2609.24090', '2302.04761', '2609.25303']",['2310.11511'],1.7921000253409147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h18,"['2310.11511', '2401.15884', '2609.24177', '2005.11401', '2609.26102', '2004.04906', '2002.08909', '2609.26682', '2609.25325', '2609.24372']",['2310.11511'],1.961500005563721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h19,"['2401.15884', '2609.24090', '2609.24346', '2210.03629', '2005.11401', '2310.11511', '2609.26229', '2609.26102', '2609.25469', '2609.24122']",['2401.15884'],2.0318999886512756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h20,"['2401.15884', '2401.18059', '2404.16130', '2002.08909', '2609.25620', '2609.23490', '2609.24122', '2609.25303', '2609.25991', '2004.04906']",['2401.15884'],2.061299979686737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h21,"['2609.26610', '2401.18059', '2609.25991', '2404.16130', '2002.08909', '2609.24220', '2005.11401', '2609.24122', '2609.24246', '2609.24346']",['2401.18059'],1.6395999991800636,0.0,0.0,0.0,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,1.0,1.0,0.6309297535714575,0.5
h22,"['2401.18059', '2305.10601', '2609.24831', '2609.24346', '2609.25303', '2404.16130', '2609.26029', '2609.26781', '2609.24220', '2004.12832']",['2401.18059'],1.8991999968420714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h23,"['2404.16130', '2609.25303', '2401.18059', '2004.04906', '2005.11401', '2609.25469', '2002.08909', '2609.24122', '2401.15884', '2609.26481']",['2404.16130'],1.381099980790168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
h24,"['2404.16130', '2609.24122', '2609.24246', '2609.25756', '2609.25620', '2609.26610', '2609.24346', '2609.26682', '2609.26562', '2401.18059']",['2404.16130'],1.651099999435246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a25,"['2609.26229', '2609.26175', '2609.24246', '2609.25873', '2609.25620', '2609.23444', '2609.26610', '2401.15884', '2609.25991', '2609.25682']",['2609.26229'],3.273599984822795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a26,"['2609.26781', '2609.25991', '2609.25782', '2609.26520', '2609.26763', '2609.24246', '2609.25873', '2305.10601', '2609.26499', '2609.25325']",['2609.26781'],1.953200000571087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a27,"['2609.26102', '2609.25531', '2609.25682', '2609.24090', '2609.25873', '2609.26175', '2609.23490', '2609.25325', '2609.26610', '2609.26481']",['2609.26102'],2.1803999843541533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a28,"['2609.26763', '2609.25782', '2609.26368', '2609.24831', '2609.26229', '2609.24177', '2609.26610', '2609.24346', '2609.24090', '2609.26520']",['2609.26763'],3.6199000023771077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a29,"['2609.25991', '2609.26229', '2609.25469', '2310.11511', '2005.11401', '2401.15884', '2609.25620', '2404.16130', '2609.24177', '2002.08909']",['2609.25991'],3.8558999949600548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a30,"['2609.26481', '2609.26562', '2303.11366', '2609.26520', '2404.16130', '2609.24177', '2609.25782', '2609.25531', '2609.26781', '2609.24359']",['2609.26481'],1.5576999867334962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a31,"['2609.25620', '2609.26763', '2609.24165', '2609.26562', '2609.26682', '2609.25991', '2609.24831', '2002.08909', '2609.26610', '2401.18059']",['2609.25620'],2.3335000150837004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a32,"['2609.26760', '2609.26481', '2609.23490', '2210.03629', '2609.26781', '2002.08909', '2609.26368', '2609.26499', '2609.23444', '2609.26520']",['2609.26760'],3.8526000280398875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a33,"['2609.25682', '2609.25782', '2303.11366', '2609.26102', '2005.11401', '2609.26499', '2609.26562', '2401.18059', '2609.23490', '2609.26610']",['2609.25682'],2.4686000251676887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
a34,"['2609.26175', '2609.25873', '2609.26610', '2609.25620', '2303.11366', '2609.26229', '2609.24346', '2609.24246', '2609.26682', '2609.26029']",['2609.26175'],2.715899987379089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
